Wk,Winner,Loser
7,(5) Clemson,Boston College
7,Coastal Carolina,Louisiana-Monroe
7,Connecticut,Florida International
7,Eastern Michigan,Western Michigan
7,Florida,Missouri
7,(2) Georgia,Auburn
7,Georgia State,Georgia Southern
7,Georgia Tech,Duke
7,Illinois,Iowa
7,James Madison,Arkansas State
7,(20) Kansas State,Iowa State
7,Liberty,Massachusetts
7,Louisiana Tech,Texas-El Paso
7,Louisville,Virginia
7,Miami (OH),Kent State
7,(4) Michigan,Indiana
7,(9) Mississippi,Vanderbilt
7,(23) Mississippi State,Arkansas
7,Navy,Tulsa
7,North Carolina,Miami (FL)
7,(14) North Carolina State,Florida State
7,Notre Dame,(16) Brigham Young
7,Ohio,Akron
7,(3) Ohio State,Michigan State
7,(7) Oklahoma State,Texas Tech
7,(12) Oregon,Arizona
7,Oregon State,Stanford
7,Pittsburgh,Virginia Tech
7,Purdue,Maryland
7,San Diego State,Hawaii
7,South Carolina,(13) Kentucky
7,(6) Southern California,Washington State
7,(8) Tennessee,(25) Louisiana State
7,Texas,Oklahoma
7,(17) Texas Christian,(19) Kansas
7,Texas State,Appalachian State
7,Texas-San Antonio,Western Kentucky
7,Toledo,Northern Illinois
7,Troy,Southern Mississippi
7,Tulane,East Carolina
7,(18) UCLA,(11) Utah
7,Utah State,Air Force
7,(15) Wake Forest,Army
7,Wisconsin,Northwestern
7,Wyoming,New Mexico
8,Louisiana,Marshall
8,Central Florida,Temple
8,West Virginia,Baylor
8,Southern Methodist,Navy
8,Texas-San Antonio,Florida International
8,Air Force,Nevada-Las Vegas
8,Alabama-Birmingham,Charlotte
8,Arkansas,Brigham Young
8,Army,Colgate
8,Ball State,Connecticut
8,Bowling Green,Miami (OH)
8,Buffalo,Massachusetts
8,Central Michigan,Akron
8,(4) Clemson,Florida State
8,Colorado,California
8,East Carolina,Memphis
8,Florida Atlantic,Rice
8,Fresno State,San Jose State
8,(1) Georgia,Vanderbilt
8,Georgia Southern,(25) James Madison
8,Hawaii,Nevada
8,(24) Illinois,Minnesota
8,(22) Kentucky,(16) Mississippi State
8,Liberty,Gardner-Webb
8,Louisiana State,Florida
8,Maryland,Indiana
8,Miami (FL),Virginia Tech
8,(5) Michigan,(10) Penn State
8,Michigan State,Wisconsin
8,(9) Mississippi,Auburn
8,New Mexico State,New Mexico
8,North Carolina,Duke
8,North Texas,Louisiana Tech
8,Northern Illinois,Eastern Michigan
8,Ohio,Western Michigan
8,Oklahoma,(19) Kansas
8,Old Dominion,Coastal Carolina
8,Oregon State,Washington State
8,Purdue,Nebraska
8,South Alabama,Louisiana-Monroe
8,Southern Mississippi,Arkansas State
8,Stanford,Notre Dame
8,(18) Syracuse,(15) North Carolina State
8,(6) Tennessee,(3) Alabama
8,(22) Texas,Iowa State
8,(13) Texas Christian,(8) Oklahoma State
8,Toledo,Kent State
8,Troy,Texas State
8,Tulane,South Florida
8,(20) Utah,(7) Southern California
8,Utah State,Colorado State
8,Washington,Arizona
8,Western Kentucky,Middle Tennessee State
9,Appalachian State,Georgia State
9,Troy,South Alabama
9,Virginia,Georgia Tech
9,Tulsa,Temple
9,Western Kentucky,Alabama-Birmingham
9,(6) Alabama,(24) Mississippi State
9,Army,Louisiana-Monroe
9,Baylor,Kansas
